,App,Size,Price,user_rating,Ratings,cont_rating,Genre,language
1292,Dokuro,146078720,1.99,84,4.5,9+,Games,1
1293,Toca Train,81991680,2.99,1397,4.0,4+,Education,18
1294,Toca Band,323621888,2.99,3107,4.5,4+,Education,1
1295,My Singing Monsters,240521216,0.0,130519,4.5,4+,Games,7
1296,PIP Camera-Selfie Cam&Pic Collage&Photo Editor,74172416,0.0,8454,4.5,4+,Photo & Video,2
1297,ATracker - Daily Task and Time Tracking,153064448,0.0,1114,4.5,4+,Productivity,12
1298,Brutal Street,68812800,0.0,777,4.5,12+,Games,7
1299,冒険ダンジョン村,187158528,4.99,0,0.0,4+,Games,1
1300,Slots - Pharaoh's Way,76591104,0.0,69610,4.5,12+,Games,1
1301,iTranslate Voice - Speak & Translate in Real Time,56189952,6.99,14469,4.0,4+,Productivity,22
1302,The Official DVSA Highway Code,67291136,3.99,0,0.0,4+,Education,1
1303,腾讯微云-安全备份共享文件和照片,63563776,0.0,308,4.0,4+,Productivity,1
1304,"Remind: Fast, Efficient School Messaging",117131264,0.0,9796,4.5,4+,Education,6
1305,宝宝树孕育-火爆的备孕怀孕育儿社区,120731648,0.0,456,4.5,17+,Health & Fitness,2
1306,Best Skins Creator Pro - for Minecraft PE & PC,36002816,1.99,4243,4.0,4+,Utilities,2
1307,フリル(FRIL) - 満足度No.1 のフリマアプリ,68782080,0.0,7,4.0,17+,Shopping,1
1308,PopCam　Photo,52942848,0.0,160,4.0,4+,Photo & Video,9
1309,Nearpod,75843584,0.0,1057,4.0,4+,Education,31
1310,AutoRap by Smule,71257088,0.0,18202,4.0,12+,Music,12
1311,The Amazing Spider-Man,829148559,6.99,17895,4.5,12+,Games,12
1312,Temple Run: Brave,130115584,1.99,27593,4.0,4+,Games,1
1313,BabyScope - Prenatal Listener,61694976,4.99,875,3.0,4+,Utilities,1
1314,realMyst,1043664896,6.99,708,4.0,12+,Games,1
1315,Sun Surveyor - Sun & Moon Visualization Tool,26597376,9.99,183,5.0,4+,Photo & Video,21
1316,Shogi,17691648,0.0,26,4.0,4+,Games,2
1317,Fair Food Maker Game - Make Yummy Carnival Treats,111604736,0.0,12251,4.0,4+,Games,1
1318,Potty Time with Elmo,47083520,2.99,712,3.5,4+,Education,1
1319,My Mixtapez Music,84864000,0.0,26286,4.5,12+,Music,1
1320,Fuel Rewards® program,58839040,0.0,2249,4.5,4+,Shopping,1
1321,Poop Break,6529024,0.99,21,4.0,9+,Utilities,1
1322,Plague Inc.,95603712,0.99,143285,4.5,12+,Games,14
1323,DiveChamp,41779200,0.99,295,4.5,4+,Games,1
1324,Tom Loves Angela,53489664,0.99,1151,4.0,4+,Entertainment,13
1325,Tom Loves Angela for iPad,55357440,2.99,2286,4.0,4+,Entertainment,13
1326,Jake's Never Land Pirate School,303058944,0.99,4337,4.0,4+,Entertainment,1
1327,Flow Free,20669440,0.0,373857,4.5,4+,Games,11
1328,"Pixlr - Photo Collages, Effects, Overlays, Filters",73878528,0.0,2099,4.0,4+,Photo & Video,11
1329,JaxReady,8352768,0.0,22,3.5,17+,Weather,1
1330,Storm Shield,26501120,2.99,2516,4.5,12+,Weather,1
1331,CamCard HD -business card scanner & reader,80380928,7.99,319,4.0,4+,Business,7
1332,Pumped: BMX,38629376,1.99,1164,5.0,4+,Games,13
1333,Sworkit - Custom Workouts for Exercise & Fitness,143166464,0.0,16819,5.0,4+,Health & Fitness,12
1334,Fieldrunners 2,89068544,2.99,14214,5.0,9+,Games,1
1335,Photo Editor by Aviary,36269056,0.0,39501,4.5,12+,Photo & Video,23
1336,"Hurricane Tracker WESH 2 Orlando, Central Florida",29992960,0.0,203,4.0,4+,Weather,1
1337,Bluebeam Revu,150128640,9.99,210,3.0,4+,Productivity,1
1338,ナビタイムの乗り換え案内 - 遅延情報やバス時刻表を案内するアプリ,103106560,0.0,48,4.5,4+,Navigation,1
1339,Where's My Perry?,126416896,2.99,24314,4.5,4+,Games,14
1340,"Seeds Pro For Minecraft - Server, Skins, Community",29258752,1.99,12770,4.5,9+,Games,1
1341,今日头条 - 热点新闻资讯、娱乐视频,108229632,0.0,428,4.5,17+,News,2
1342,Granny Smith,68317184,1.99,8568,4.5,4+,Games,1
1343,Lep's World 2 Plus - super best platformer games,66832384,0.99,8404,4.5,4+,Games,3
1344,Lyft,157950976,0.0,46922,4.5,4+,Travel,1
1345,SnoreLab : Record Your Snoring,56814592,0.0,1341,4.5,12+,Medical,9
1346,Clash of Clans,116476928,0.0,2130805,4.5,9+,Games,18
1347,Frax HD - The First Realtime Immersive Fractals,94023680,1.99,298,5.0,4+,Entertainment,8
1348,Zombie Tsunami,115895296,0.0,31311,4.5,4+,Games,14
1349,The Wonder Weeks,28716032,1.99,397,2.5,17+,Health & Fitness,1
1350,"Disney Channel – Watch Full Episodes, Movies & TV",132038656,0.0,21082,3.5,4+,Entertainment,1
1351,"Disney Junior – Watch Full Episodes, Movies & TV",113905664,0.0,8077,3.0,4+,Entertainment,1
1352,"Disney XD – Watch Full Episodes, Movies & Live TV",109049856,0.0,5703,3.5,4+,Entertainment,1
1353,METAL SLUG 3,151613440,2.99,2798,3.5,9+,Games,2
1354,CBS Full Episodes and Live TV,93207552,0.0,39436,2.5,4+,Entertainment,1
1355,东方财富网领先版-财经资讯&股票开户,133628928,0.99,0,0.0,4+,Finance,1
1356,Dungeon Village,187506688,4.99,1000,4.5,4+,Games,5
1357,Wish - Shopping Made Fun,48428032,0.0,141960,4.5,12+,Shopping,30
1358,"Sight Words Games & Flash Cards for Reading and Spelling Success at School (Learn to Read Preschool, Kindergarten and Grade 1 Kids)",54198272,2.99,59,3.5,4+,Education,1
1359,LiveCollage Pro-Photo Collage Maker&Photo Editor,88022016,1.99,12319,4.5,4+,Photo & Video,4
1360,Photo Collage Maker & Photo Editor - Live Collage,94266368,0.0,93781,4.5,4+,Photo & Video,4
1361,Trigger Fist,144196155,0.0,69624,4.5,12+,Games,1
1362,Talking Ginger for iPad,79683584,0.0,20065,4.5,4+,Entertainment,13
1363,same - 就是聊得来,123238400,0.0,78,4.0,17+,Social Networking,1
1364,Deck Pass Plus,10240000,1.99,350,3.5,4+,Sports,1
1365,Tone Sphere,411227136,1.99,360,4.5,4+,Games,1
1366,Dragon Island Blue,53772288,0.99,9119,5.0,9+,Games,2
1367,Organ Trail: Director's Cut,245444608,2.99,3389,4.5,12+,Games,1
1368,cute icon&wallpaper dressup - CocoPPa,65789952,0.0,12508,4.0,4+,Lifestyle,10
1369,DEAD TRIGGER,301228032,0.0,78918,4.5,17+,Games,1
1370,MY LITTLE PONY: Magic Princess Quests,107032576,0.0,65201,4.5,4+,Games,13
1371,Fragment's Note,714801152,3.99,1,5.0,4+,Games,1
1372,Bad Piggies,260106240,0.0,26259,4.5,4+,Games,1
1373,Odysseus: Long Way Home HD (Full),281676680,4.99,39,4.0,4+,Games,7
1374,KODAK Kiosk Connect App,21434368,0.0,3711,4.5,4+,Photo & Video,27
1375,Modern Essentials,53814272,6.99,112,3.5,12+,Health & Fitness,1
1376,Snail Bob,210245632,0.99,9453,4.5,4+,Games,1
1377,InstaBoard  for Instagram - photos & videos repost,53230592,0.0,1571,3.5,12+,Photo & Video,1
1378,Topia World Builder,59056128,1.99,1775,3.5,4+,Games,1
1379,Bubble Mania™,189151232,0.0,122081,4.5,4+,Games,1
1380,Dr. Panda Hospital,417707008,2.99,372,4.0,4+,Education,15
1381,Tapage by My Little App,54250496,0.0,41,4.5,17+,Lifestyle,1
1382,UFC ®,45790208,0.0,809,2.5,12+,Sports,1
1383,Rhonna Collage,123987968,1.99,239,4.0,4+,Photo & Video,29
1384,Upward Basketball Coach,36912128,0.99,138,3.5,4+,Sports,1
1385,Celebrity Look Alike App - Face Compare,49332224,0.0,403,2.5,4+,Entertainment,1
1386,BADLAND,222380032,2.99,21325,4.5,9+,Games,13
1387,Certified Mixtapes - Hip Hop Albums & Mixtapes,41123840,0.0,9975,4.5,12+,Music,1
1388,Hungry Shark Evolution,320535552,0.0,83784,4.5,12+,Games,33
1389,Into the Dead,171828224,0.0,32492,4.5,12+,Games,14
1390,Fitstar Personal Trainer,50043904,0.0,7496,4.5,4+,Health & Fitness,5
1391,"Oje, ich wachse!",26168320,1.99,0,0.0,4+,Health & Fitness,1
1392,书香云集Pro-小说电子书免费看书读书听书追书无广告阅读器,52120576,0.99,14,5.0,17+,Book,3
1393,"Over— Edit Photos, Add Text & Captions to Pictures",109300736,0.0,16221,4.5,4+,Photo & Video,1
1394,Google Chrome – The Fast and Secure Web Browser,95385600,0.0,55750,3.5,17+,Utilities,37
1395,Tentacles: Enter the Dolphin,580818944,2.99,1678,4.5,9+,Games,1
1396,Full Fitness : Exercise Workout Trainer,104803328,2.99,7573,4.5,4+,Health & Fitness,11
1397,Trainz Driver - train driving game and realistic railroad simulator,384385024,2.99,2228,4.0,4+,Games,1
1398,Toddler Counting 123,60891136,0.99,121,4.0,4+,Education,15
1399,Lapse It Pro • Time Lapse & Stop Motion Camera • Professional HD,22585344,2.99,2079,4.5,4+,Photo & Video,9
1400,UNO ™ & Friends,131464192,0.0,68911,4.0,9+,Games,14
1401,Raiden Legacy,177562624,4.99,443,4.5,9+,Games,1
1402,BrainHQ - Brain Training,72673280,0.0,684,4.0,4+,Education,2
1403,Block Earth,85463040,4.99,2089,4.0,4+,Games,1
1404,Bastion,1281059840,4.99,14247,4.5,12+,Games,1
1405,Rayman Jungle Run,78690304,2.99,25517,4.5,9+,Games,8
1406,TEDICT - Learn English with TED Video,6398976,2.99,77,4.5,4+,Education,18
1407,Big Fish Casino – Best Vegas Slot Machines & Games,108107776,0.0,113959,4.5,12+,Games,1
1408,暴风影音-BaoFeng Player,83532800,0.0,287,4.5,17+,Entertainment,1
1409,SpellingCity,109510656,0.0,1566,3.5,4+,Education,16
1410,どうぶつしょうぎ(公式),33780714,0.99,1,4.0,4+,Games,1
1411,"We Heart It - Fashion, wallpapers, quotes, tattoos",79953920,0.0,90414,5.0,12+,Social Networking,31
1412,IronMobile - Ironman Athlete Tracker,5086208,0.99,126,3.0,4+,Sports,31
1413,Been Together,50371584,0.99,20,4.5,4+,Lifestyle,7
1414,Hurricane Impact by HurricaneTrack.com,7477248,2.99,60,3.5,4+,Weather,1
1415,Voice Translate Pro,20605952,3.99,1158,4.5,4+,Business,1
1416,Castle Raid,47127849,0.99,1087,4.5,9+,Games,1
1417,Need for Speed™ Most Wanted,2023336960,4.99,7315,4.0,4+,Games,11
1418,Tiny Wings HD,28681216,2.99,12181,4.5,4+,Games,6
1419,Robot Unicorn Attack 2,106917888,0.0,21432,4.5,9+,Games,6
1420,Presidential Election & Electoral College Maps,32719872,2.99,222,3.5,4+,News,1
1421,The Secret Society® - Hidden Mystery,1433910272,0.0,168674,4.0,4+,Games,11
1422,Space Agency,34965504,1.99,1565,4.5,4+,Games,1
1423,NBC Sports,129395712,0.0,47172,2.5,4+,Sports,31
1424,征戦エクスカリバー,89853952,0.0,8,3.5,9+,Games,16
1425,Unfilth Your Habitat,12316672,0.99,321,4.5,17+,Productivity,1
1426,WiFi Map Pro - Scan & Get Passwords for free Wi-Fi,87569408,4.99,1155,4.0,4+,Travel,4
1427,Word Search Colorful,19643392,0.0,7131,4.0,12+,Games,13
1428,Wireless Transfer App:Sync backup photo and video,35957760,2.99,1810,4.5,4+,Photo & Video,6
1429,8 Ball Pool™,86776832,0.0,416736,4.5,4+,Games,10
1430,Photo Grid - photo collage maker & photo editor,112073728,0.0,40531,4.5,4+,Photo & Video,22
1431,ownCloud,34676736,0.99,249,3.0,17+,Productivity,26
1432,大盛グルメ食堂,109486080,4.99,0,0.0,4+,Games,1
1433,"YouTube - Watch Videos, Music, and Live Streams",124673024,0.0,278166,2.5,17+,Photo & Video,34
1434,TimeTraks,698800,0.99,68,2.0,4+,Entertainment,1
1435,"Shopular Coupons, Weekly Deals for Target, Walmart",52582400,0.0,22729,5.0,4+,Shopping,1
1436,Magellan,44860416,2.99,313,4.5,4+,Music,1
1437,Real Metronome Pro,56131584,1.99,95,4.0,4+,Music,23
1438,McGraw-Hill K-12 ConnectED Mobile,26227712,0.0,594,2.5,4+,Education,1
1439,The World Ends with You: Solo Remix,2664228864,17.99,2760,4.5,9+,Games,2
1440,Bad Piggies HD,260040704,0.0,19018,4.5,4+,Games,1
1441,Amazon Prime Video,69435392,0.0,43667,4.0,12+,Entertainment,3
1442,Camera360 Concept - HelloCamera,45243392,0.99,1335,4.5,4+,Photo & Video,3
1443,Hurricane by American Red Cross,54710272,0.0,1158,4.0,4+,Weather,1
1444,Finding Nemo Storybook Deluxe,1131319296,2.99,117,4.0,4+,Book,1
1445,Weather & Radar,94449664,0.0,37,4.0,4+,Weather,21
1446,キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),113008640,3.99,0,0.0,4+,Education,1
1447,キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),114601984,3.99,0,0.0,4+,Education,1
1448,キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),113598464,3.99,0,0.0,4+,Education,1
1449,PetWorld 3D: My Animal Rescue Premium,177914880,5.99,1815,4.0,4+,Games,8
1450,"Quizlet: Study Flashcards, Languages & Vocabulary",95381504,0.0,16683,4.5,4+,Education,13
1451,Can Knockdown 3,151453696,1.99,1135,4.5,4+,Games,11
1452,Super Why! ABC Adventures,147821568,3.99,242,3.0,4+,Education,1
1453,Photo Editor-,46732288,0.0,9095,4.5,4+,Photo & Video,31
1454,Bingo!™,236914688,0.0,56852,4.5,12+,Games,1
1455,Blendamaze,53692416,2.99,1504,4.5,4+,Games,1
1456,DMBX 2 - Mountain Bike and BMX,165738053,1.99,42,4.0,4+,Games,2
1457,Traffic Racer,132160512,0.0,22458,4.5,4+,Games,16
1458,"Karaoke - Sing Karaoke, Unlimited Songs!",95711232,0.0,28606,4.5,4+,Music,19
1459,百度网盘,114601984,0.0,2434,4.5,12+,Productivity,1
1460,Bingo Pop,274991104,0.0,18971,4.0,12+,Games,1
1461,Infectonator,25939813,0.99,3069,4.5,9+,Games,16
1462,Tinder,126720000,0.0,143040,3.5,17+,Lifestyle,42
1463,ZARA,61317120,0.0,2731,4.5,4+,Shopping,29
1464,万年历-农历黄历日历天气,111135744,0.0,0,0.0,12+,Utilities,3
1465,Slayin,22982656,0.99,45574,4.5,12+,Games,1
1466,"Handwriting Without Tears: Wet-Dry-Try for Capitals, Numbers & Lowercase",69922816,4.99,382,3.5,4+,Education,1
1467,Stick Texting Emoji Emoticons Killer,90030080,1.99,321,3.0,9+,Utilities,1
1468,Super Hexagon,33219584,2.99,10748,4.5,4+,Games,1
1469,ヨドバシ,19196928,0.0,0,0.0,17+,Shopping,1
1470,True Skate,66697216,1.99,11065,4.0,4+,Games,1
1471,平安金管家 — 值得信赖的移动金融生活管家,131750912,0.0,5,2.5,17+,Finance,2
1472,I see! Math1,96665600,4.99,0,0.0,4+,Education,2
1473,Cafeteria Nipponica,186856448,4.99,274,4.5,4+,Games,4
1474,STARZ,110111744,0.0,8971,3.5,17+,Entertainment,1
1475,Pac-12 Now,71500800,0.0,1221,3.0,4+,Sports,1
1476,Camera+ for iPad,62664704,4.99,641,3.5,4+,Photo & Video,10
1477,Word Chums,90521600,3.99,11536,5.0,4+,Games,1
1478,Dr. Panda's Restaurant,125091840,1.99,370,4.0,4+,Games,17
1479,LAMP Words For Life,583263232,299.99,41,4.0,4+,Education,1
1480,Jumping Horses Champions,41161832,0.99,835,4.5,4+,Games,1
1481,スシロー,32113664,0.0,0,0.0,4+,Food & Drink,1
1482,WWE,88150016,0.0,7553,4.0,12+,Entertainment,9
1483,Starfall Learn to Read,107464704,0.0,474,4.0,4+,Education,1
1484,The Room,338273280,0.99,143908,5.0,9+,Games,1
1485,Followers - Social Analytics For Instagram,59160576,0.0,112778,4.5,4+,Social Networking,11
1486,Stock Market HD: Real Time Stocks Tracker + Forex,77485056,2.99,1275,3.5,4+,Finance,1
1487,"It's The Great Pumpkin, Charlie Brown",141408256,5.99,632,4.0,4+,Book,1
1488,ClassDojo,80195584,0.0,35440,4.5,4+,Education,55
1489,NASCAR MOBILE,70040576,0.0,16385,4.0,4+,Sports,1
1490,Daniel Tiger’s Neighborhood: Play at Home with Daniel,58736640,2.99,930,3.5,4+,Education,1
1491,百度地图HD,107509760,0.0,771,4.5,4+,Navigation,2
1492,Cymera - Photo & Beauty Editor & Collage,123231232,0.0,523,3.0,4+,Photo & Video,13
1493,Candy Crush Saga,222846976,0.0,961794,4.5,4+,Games,24
1494,Ugly,47773530,0.0,224,4.0,4+,Entertainment,1
1495,Crazy Taxi,277301248,0.0,8573,4.0,9+,Games,11
1496,Touch Camera - Fast Recording and Burst,5071872,1.99,36,1.0,4+,Photo & Video,3
1497,Jメール 出会える人気の匿名SNS出会い系アプリ,27784192,0.0,11,3.5,17+,Social Networking,2
1498,SMART Notebook for iPad,97378304,5.99,301,2.5,4+,Education,6
1499,The Tiny Bang Story,189565952,1.99,143,3.0,4+,Games,9
1500,滴滴出行,108676096,0.0,1103,4.0,4+,Travel,2
1501,Campaign Manager - A Presidential Election Simulation Game,7053312,2.99,116,4.0,4+,Games,1
1502,Vector HD,137798656,0.99,1291,4.5,9+,Games,1
1503,百度网盘 HD,50118656,0.0,869,4.0,4+,Productivity,1
1504,Talking Angela for iPad,76846080,0.0,32763,3.5,4+,Entertainment,13
1505,Earn to Die,56385536,0.99,6977,4.5,12+,Games,1
1506,Earn to Die HD,49803264,2.99,2028,4.5,12+,Games,1
1507,Baby Rattle with Child Lock,22364160,1.99,441,4.5,4+,Games,14
1508,Clue Solver - for Clue or Cluedo board games,77971456,0.99,185,1.5,4+,Games,1
1509,ESPN Fantasy Football Baseball Basketball Hockey,25164800,0.0,64925,4.0,4+,Sports,1
1510,TransParent Compass,35382272,0.0,0,0.0,4+,Utilities,2
1511,去哪儿攻略—查游记旅游攻略，订机票酒店,57138176,0.0,25,4.0,4+,Travel,1
1512,Draw a Stickman: EPIC,72376320,1.99,413,4.5,9+,Games,1
1513,Year Walk,213773594,3.99,1951,4.5,12+,Games,1
1514,Angry Birds Friends,190382080,0.0,23655,4.0,4+,Games,1
1515,Kirkland's Spin to Win,9965568,0.0,177,3.0,4+,Shopping,1
1516,Real Racing 3,874184704,0.0,164483,4.5,4+,Games,12
1517,Pacific Fleet,92250112,5.99,806,4.0,12+,Games,1
1518,Toca Tailor,57734144,2.99,4059,4.5,4+,Education,19
1519,"Tiny Scanner+ - PDF scanner to scan document, receipt & fax",57836544,4.99,5611,5.0,4+,Business,9
1520,Draw a Stickman: EPIC HD,113565696,2.99,895,4.5,9+,Games,1
1521,TNNS,42757772,1.99,65,4.5,4+,Games,1
1522,MetaMoJi Note - note taking and PDF annotation app,103659520,7.99,493,4.0,4+,Productivity,13
1523,HelloTalk Language Exchange Learning App,167054336,0.0,1619,4.0,4+,Education,20
1524,Angry Birds Star Wars,177338368,0.0,34138,4.5,4+,Games,1
1525,Angry Birds Star Wars HD,212249600,0.0,22674,4.5,4+,Games,1
1526,Shpock Boot Sale & Classifieds App. Buy & Sell,82904064,0.0,212,4.0,12+,Shopping,6
1527,Total - Free browser with file manager and cloud storage support,75883520,0.0,4231,4.5,17+,Entertainment,7
1528,"Network Analyzer - wifi scanner, speed test, tools",12513280,3.99,2840,4.5,4+,Utilities,1
1529,"Inkly: Greeting Cards, Postcards, Flowers & Gifts",139865088,0.0,1034,4.5,9+,Shopping,21
1530,Dashy Crashy,166305792,0.0,3979,4.5,4+,Games,12
1531,CUBE SNAP,85362688,0.99,1133,4.5,4+,Games,1
1532,File Manager Pro App,14442496,4.99,2154,4.5,17+,Business,2
1533,Modern Combat 4: Zero Hour,2169602048,6.99,12916,4.0,17+,Games,13
1534,InsTrack for Instagram - Analytics Plus More,14225408,0.0,85535,4.5,4+,Social Networking,31
1535,Weblock - AdBlock for apps and websites,37883904,1.99,1880,3.5,4+,Utilities,7
1536,"Ibotta: Cash Back App, Grocery Coupons & Shopping",192774144,0.0,44313,4.5,12+,Shopping,1
1537,Lumps of Clay,90752000,0.99,0,0.0,4+,Games,1
1538,直播吧(官方版)-体育从这里开始,63309824,0.0,13,5.0,12+,Sports,1
1539,Mini Golf Stars! Retro Golf Game,224983040,0.0,9411,4.5,17+,Games,9
1540,"Concepts - Sketch, Design, Illustrate",130532352,0.0,3101,4.5,4+,Productivity,12
1541,Lili™,797827072,0.99,2701,4.0,12+,Games,1
1542,Capture - Control Your GoPro Camera - Share Video,94800896,0.0,6542,3.0,12+,Photo & Video,10
1543,Clumsy Ninja,255400960,0.0,123032,4.5,4+,Games,5
1544,Agricola,349272064,6.99,1107,4.0,12+,Games,7
1545,T-Mobile,65560576,0.0,19977,4.0,4+,Productivity,1
1546,Peatix -Discover events & communities in your city,84125696,0.0,10,3.0,4+,Entertainment,2
1547,Dragon City Mobile,123612160,0.0,277268,4.5,4+,Games,12
1548,高德地图HD,36229120,0.0,26,3.5,4+,Navigation,1
1549,ライブチャット、ビデオチャット通話が楽しめる！ ライブでゴーゴー,32168960,0.0,0,0.0,17+,Social Networking,16
1550,Devil's Attorney,321376256,2.99,1474,4.5,12+,Games,1
1551,Vector for iPhone,137792512,0.99,4432,4.5,9+,Games,1
1552,NFL HUDDLE: Football Card Trader,228352000,0.0,2896,4.0,12+,Sports,1
1553,GeniusMovieWords,47728640,9.99,0,0.0,4+,Education,1
1554,UBiO,26939392,4.99,8,4.5,4+,Music,2
1555,Minecraft: Skin Studio,46211072,3.99,4006,4.0,4+,Games,11
1556,Bloons TD 5,113020928,2.99,42078,4.5,9+,Games,15
1557,minne - shopping handmade item,80129024,0.0,8,5.0,4+,Shopping,2
1558,MarineTraffic - Ship Tracking,45089792,4.99,1782,4.5,4+,Travel,1
1559,Stone Age: The Board Game,137375744,6.99,850,4.5,4+,Games,2
1560,Hill Climb Racing,108322816,0.0,108183,4.5,9+,Games,1
1561,51信用卡管家,68952064,0.0,47,4.0,4+,Finance,2
1562,51信用卡管家Pro,68952064,0.99,23,3.5,4+,Finance,2
1563,铁路12306,28961792,0.0,177,2.0,4+,Travel,1
1564,Urlaubspiraten,22560768,0.0,188,5.0,4+,Travel,1
1565,Backflip Madness,17436862,0.99,11687,4.5,9+,Games,1
1566,Fit Brains Trainer,188902400,0.0,46363,4.5,4+,Education,9
1567,Ticket Scanner for Powerball & MegaMillions Pool,84973568,0.0,581,3.5,12+,News,1
1568,百度HD-极速安全浏览器,167631872,0.0,1033,4.0,17+,Utilities,2
1569,Good homes style-pro,6373376,0.99,0,0.0,4+,Lifestyle,3
1570,Monkey Word School Adventure,296433664,1.99,191,4.0,4+,Education,1
1571,Bloons TD 5 HD,217499648,2.99,28341,4.5,9+,Games,15
1572,Followers + for Instagram - Follower Analytics,17986560,0.0,28633,4.0,12+,Social Networking,29
1573,Colin McRae Rally,822431744,2.99,504,3.5,4+,Games,1
1574,Mutant Fridge Mayhem - Gumball,93663232,2.99,3090,4.5,9+,Games,1
1575,KATWARN,5424128,0.0,0,0.0,4+,News,2
1576,iUniform ASU - Builds Your Army Service Uniform,37122048,3.99,132,3.5,4+,Utilities,2
1577,We Maps,38597632,6.99,35,4.5,4+,Travel,15
1578,Rainy Mood - Rain Sounds for Sleep & Study,91877376,2.99,333,4.5,4+,Health & Fitness,1
1579,淘票票 - 原淘宝电影，选座购票必备,98619392,0.0,29,3.5,12+,Entertainment,2
1580,e-Sword HD: Bible Study Made Easy,20587520,4.99,7309,5.0,4+,Reference,3
1581,Vampify - Turn yourself into a Vampire,102176768,0.99,278,4.5,9+,Entertainment,13
1582,French Tarot,41298944,4.99,33,4.5,4+,Games,2
1583,Bubble Guppies: Animal School Day HD,826970112,4.99,1207,3.5,4+,Education,1
1584,Bubble Guppies: Animal School Day,829255680,2.99,130,4.0,4+,Education,1
1585,Mickey Mouse Clubhouse: Mickey's Wildlife Count Along,971752448,2.99,743,3.5,4+,Entertainment,3
1586,MY EE,23851008,0.0,43,2.5,4+,Utilities,1
1587,Sonic Jump™,104692736,2.99,8661,4.5,4+,Games,10
1588,Yoga Studio,162386944,4.99,28439,5.0,4+,Health & Fitness,1
1589,"sugar, sugar",25718784,0.99,139,4.5,4+,Games,16
1590,Watch NFL Network,73063424,0.0,1110,2.0,4+,Sports,25
1591,SySight,1209344,0.99,0,0.0,4+,Utilities,2
1592,Frax - The First Realtime Immersive Fractals,99244032,0.99,245,4.5,4+,Entertainment,8
1593,ReindeerCam,47512576,1.99,3379,4.5,4+,Entertainment,1
1594,Timehop,67424256,0.0,49510,3.5,4+,Social Networking,1
1595,Pudding Monsters,35096576,0.99,10703,4.5,4+,Games,11
1596,Toca Hair Salon 2,99796992,2.99,23349,4.5,4+,Education,18
1597,"Duolingo - Learn Spanish, French and more",89782272,0.0,162701,4.5,4+,Education,24
1598,Printicular Print Photos - 1 Hour Pickup,54000640,0.0,3909,5.0,4+,Photo & Video,22
1599,楽天カード,81673216,0.0,11,5.0,17+,Finance,1
1600,"Runtastic Push Ups PRO: Workouts, Trainer, Counter",45799424,1.99,3434,5.0,4+,Health & Fitness,15
1601,"Runtastic Squats PRO – Workouts, Trainer & Counter",45754368,1.99,1186,5.0,4+,Health & Fitness,15
1602,LEGO Batman: DC Super Heroes,1139261440,4.99,7717,4.0,9+,Games,1
1603,Repost for Instagram,46076928,0.0,15185,4.5,12+,Social Networking,1
1604,Daily Celebrity Crossword,94110720,0.0,181384,4.0,4+,Games,1
1605,腾讯体育-NBA全网独播,89204736,0.0,29,3.5,17+,Sports,1
1606,Global Shark Tracker,36946944,0.0,336,3.0,4+,Education,1
1607,FOX NOW - Watch Full Episodes and Stream Live TV,56974336,0.0,39391,4.5,4+,Entertainment,1
1608,Mutant Mudds,37110784,4.99,819,4.0,9+,Games,1
1609,"All-in Fitness: 1200 Exercises, Workouts, Calorie Counter, BMI calculator by Sport.com",96468992,2.99,965,4.5,12+,Health & Fitness,6
1610,Gangstar Vegas,2088777728,0.0,46705,4.5,17+,Games,13
1611,Slender Rising,228978688,2.99,5214,4.5,12+,Games,1
1612,365Scores,129219584,0.0,9879,4.5,4+,Sports,32
1613,Temple Run 2,158025728,0.0,295211,4.5,9+,Games,1
1614,Partia,38211584,3.99,209,4.5,9+,Games,1
1615,Beat the Boss 2,205271040,0.0,117338,4.5,12+,Games,15
1616,Afterlight,76231680,0.99,14057,4.5,4+,Photo & Video,1
1617,キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),120057856,3.99,0,0.0,4+,Education,1
1618,Warhammer Quest,936792064,2.99,4965,4.5,12+,Games,5
1619,Vendée Globe 2016,253679616,0.0,42,2.0,4+,Sports,2
1620,Joe Danger,171192320,1.99,3748,4.5,9+,Games,8
1621,百度视频HD-高清电视剧、电影在线观看神器,105649152,0.0,1987,4.0,17+,Entertainment,1
1622,Fitness Point Pro,68373504,4.99,1685,4.5,9+,Health & Fitness,18
1623,Beat the Boss 2 (17+),205250560,0.99,17203,4.5,17+,Games,15
1624,iGun Pro HD - The Original Gun Application,69952512,0.0,22324,4.5,12+,Games,6
1625,Sky Gamblers: Storm Raiders,1820131328,4.99,18822,4.5,12+,Games,10
1626,METAL SLUG 1,59441152,2.99,540,4.0,9+,Games,2
1627,Asva The Monkey HD,44660067,0.99,80,4.5,4+,Games,1
1628,FINAL FANTASY IV,537749504,14.99,4558,4.5,9+,Games,12
1629,LINE PLAY - Your Avatar World,108691456,0.0,34677,4.5,4+,Social Networking,6
1630,Pou,40968192,0.0,3783,4.5,4+,Games,20
1631,Christmas Stories: Nutcracker Collector's Edition HD (Full),611252780,6.99,259,4.5,4+,Games,1
1632,aerofly FS - Flight Simulator,2251403264,3.99,1033,4.5,4+,Games,1
